Country Name,2024
World,8142056446.0
IDA & IBRD total,6926456321.0
Low & middle income,6563719861.0
Middle income,5939111763.0
IBRD only,4979720059.0
Early-demographic dividend,3552278604.0
Lower middle income,3120983658.0
Upper middle income,2818128105.0
East Asia & Pacific,2388378491.0
Late-demographic dividend,2328890789.0
East Asia & Pacific (excluding high income),2141122258.0
East Asia & Pacific (IDA & IBRD countries),2114653077.0
IDA total,1946736262.0
South Asia (IDA & IBRD),1677384532.0
South Asia,1677384532.0
India,1450935791.0
High income,1417871275.0
China,1408975000.0
OECD members,1396914190.0
Sub-Saharan Africa (IDA & IBRD countries),1291058694.0
Sub-Saharan Africa,1291058694.0
IDA only,1269778611.0
Least developed countries: UN classification,1187777591.0
Sub-Saharan Africa (excluding high income),1158877573.0
Post-demographic dividend,1128430188.0
Pre-demographic dividend,1105951788.0
Fragile and conflict affected situations,1083294896.0
Heavily indebted poor countries (HIPC),941413026.0
Europe & Central Asia,928465742.0
"Middle East, North Africa, Afghanistan & Pakistan",813118814.0
Africa Eastern and Southern,769294618.0
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",741690916.0
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",736401764.0
IDA blend,676957651.0
Latin America & Caribbean,662185950.0
Latin America & the Caribbean (IDA & IBRD countries),647003746.0
Low income,624608098.0
Latin America & Caribbean (excluding high income),594158638.0
Africa Western and Central,521764076.0
Arab World,492579811.0
Europe & Central Asia (IDA & IBRD countries),459954508.0
European Union,450185396.0
North America,381464223.0
Euro area,351125804.0
United States,340110988.0
Indonesia,283487931.0
Pakistan,251269164.0
Europe & Central Asia (excluding high income),250485944.0
Nigeria,232679478.0
Brazil,211998573.0
Bangladesh,173562364.0
Russian Federation,143533851.0
Ethiopia,132059767.0
Mexico,130861007.0
Japan,123975371.0
"Egypt, Arab Rep.",116538258.0
Philippines,115843670.0
"Congo, Dem. Rep.",109276265.0
Viet Nam,100987686.0
Central Europe and the Baltics,100050066.0
"Iran, Islamic Rep.",91567738.0
Turkiye,85518661.0
Germany,83510950.0
Thailand,71668011.0
United Kingdom,69226000.0
Tanzania,68560157.0
France,68516699.0
South Africa,64007187.0
Italy,58986023.0
Kenya,56432944.0
Myanmar,54500091.0
Colombia,52886363.0
"Korea, Rep.",51751065.0
Sudan,50448963.0
Uganda,50015092.0
Spain,48807137.0
Algeria,46814308.0
Iraq,46042015.0
Argentina,45696159.0
Afghanistan,42647492.0
Canada,41288599.0
"Yemen, Rep.",40583164.0
Morocco,38081173.0
Angola,37885849.0
Ukraine,37860221.0
Poland,36554707.0
Uzbekistan,36361859.0
Malaysia,35557673.0
Saudi Arabia,35300280.0
Mozambique,34631766.0
Ghana,34427414.0
Peru,34217848.0
Madagascar,31964956.0
Cote d'Ivoire,31934230.0
Nepal,29651054.0
Cameroon,29123744.0
"Venezuela, RB",28405543.0
Australia,27204809.0
Niger,27032412.0
"Korea, Dem. People's Rep.",26498823.0
Syrian Arab Republic,24672760.0
Mali,24478595.0
Burkina Faso,23548781.0
Sri Lanka,21916000.0
Malawi,21655286.0
Zambia,21314956.0
Kazakhstan,20592571.0
Chad,20299123.0
Small states,20230689.0
Chile,19764771.0
Romania,19069340.0
Somalia,19009151.0
Senegal,18501984.0
Guatemala,18406359.0
Ecuador,18135478.0
Netherlands,17994237.0
Cambodia,17638801.0
Zimbabwe,16634373.0
Guinea,14754785.0
Benin,14462724.0
Rwanda,14256567.0
Burundi,14047786.0
Other small states,12969162.0
Bolivia,12413315.0
Tunisia,12277109.0
South Sudan,11943408.0
Belgium,11876844.0
Haiti,11772557.0
Jordan,11552876.0
Dominican Republic,11427557.0
Cuba,10979783.0
Czechia,10882164.0
United Arab Emirates,10876981.0
Honduras,10825703.0
Portugal,10701636.0
Tajikistan,10590927.0
Papua New Guinea,10576502.0
Sweden,10569709.0
Greece,10388805.0
Azerbaijan,10202850.0
Israel,9974400.0
Hungary,9562314.0
Togo,9515236.0
Austria,9178482.0
Belarus,9133712.0
Switzerland,9034102.0
Sierra Leone,8642022.0
Lao PDR,7769819.0
"Hong Kong SAR, China",7524100.0
Turkmenistan,7494498.0
Libya,7381023.0
Kyrgyz Republic,7224614.0
Paraguay,6929153.0
Nicaragua,6916140.0
Serbia,6587202.0
Bulgaria,6444366.0
El Salvador,6338193.0
"Congo, Rep.",6332961.0
Singapore,6036860.0
Denmark,5976992.0
Lebanon,5805962.0
Finland,5637214.0
Liberia,5612817.0
Norway,5572272.0
Slovak Republic,5422069.0
Ireland,5380257.0
New Zealand,5338500.0
Central African Republic,5330690.0
West Bank and Gaza,5289152.0
Oman,5281538.0
Mauritania,5169395.0
Costa Rica,5129910.0
Kuwait,4973861.0
Caribbean small states,4539060.0
Panama,4515577.0
Croatia,3866300.0
Georgia,3673850.0
Eritrea,3535603.0
Mongolia,3524788.0
Uruguay,3386588.0
Puerto Rico (US),3203295.0
Bosnia and Herzegovina,3164253.0
Armenia,3033500.0
Namibia,3030131.0
Lithuania,2888055.0
Qatar,2857822.0
Jamaica,2839175.0
"Gambia, The",2759988.0
Pacific island small states,2722467.0
Albania,2714617.0
Gabon,2538952.0
Botswana,2521139.0
Moldova,2389275.0
Lesotho,2337423.0
Guinea-Bissau,2201352.0
Slovenia,2126324.0
Equatorial Guinea,1892516.0
Latvia,1862441.0
North Macedonia,1792179.0
Bahrain,1588670.0
Kosovo,1527324.0
Timor-Leste,1400638.0
Estonia,1371986.0
Trinidad and Tobago,1368333.0
Cyprus,1358282.0
Mauritius,1259509.0
Eswatini,1242822.0
Djibouti,1168722.0
Fiji,928784.0
Comoros,866628.0
Guyana,831087.0
Solomon Islands,819198.0
Bhutan,791524.0
"Macao SAR, China",687000.0
Luxembourg,677717.0
Suriname,634431.0
Montenegro,623831.0
Malta,574346.0
Maldives,527799.0
Cabo Verde,524877.0
Brunei Darussalam,462721.0
Belize,417072.0
Iceland,404610.0
"Bahamas, The",401283.0
Vanuatu,327777.0
New Caledonia,292639.0
Barbados,282467.0
French Polynesia,281807.0
Sao Tome and Principe,235536.0
Samoa,218019.0
St. Lucia,179744.0
Channel Islands,168126.0
Guam,167777.0
Curacao,155900.0
Kiribati,134518.0
Seychelles,121354.0
Grenada,117207.0
"Micronesia, Fed. Sts.",113160.0
Aruba,107624.0
Virgin Islands (U.S.),104377.0
Tonga,104175.0
St. Vincent and the Grenadines,100616.0
Antigua and Barbuda,93772.0
Isle of Man,84160.0
Andorra,81938.0
Cayman Islands,74457.0
Dominica,66205.0
Bermuda,64636.0
Greenland,56836.0
Faroe Islands,54719.0
St. Kitts and Nevis,46843.0
American Samoa,46765.0
Turks and Caicos Islands,46535.0
Northern Mariana Islands,44278.0
Sint Maarten (Dutch part),43350.0
Liechtenstein,40197.0
British Virgin Islands,39471.0
Gibraltar,39329.0
Monaco,38631.0
Marshall Islands,37548.0
San Marino,33977.0
St. Martin (French part),26129.0
Palau,17695.0
Nauru,11947.0
Tuvalu,9646.0
